District_name,Transaction_count,Transaction_amount,Quater,Year,State
prakasam,739991,1571167562.1276274,2,2018,andhra-pradesh
visakhapatnam,3394576,4821892253.393524,3,2018,andhra-pradesh
east godavari,3226907,3551247095.3074465,3,2018,andhra-pradesh
kurnool,2921189,2908389261.5397735,3,2018,andhra-pradesh
krishna,2396934,3754202654.3844614,3,2018,andhra-pradesh
chittoor,2297429,3283517630.720593,3,2018,andhra-pradesh
guntur,1912529,3127764663.180438,3,2018,andhra-pradesh
anantapur,1815215,2681787750.464165,3,2018,andhra-pradesh
ysr,1557444,2235904512.2542048,3,2018,andhra-pradesh
west godavari,1431282,2309078492.805815,3,2018,andhra-pradesh
prakasam,1319651,2346453445.4838424,3,2018,andhra-pradesh
visakhapatnam,4791421,7366635864.849373,4,2018,andhra-pradesh
chittoor,3166201,4979093890.223491,4,2018,andhra-pradesh
east godavari,3052762,4652624623.436675,4,2018,andhra-pradesh
krishna,2839161,5416251838.130407,4,2018,andhra-pradesh
guntur,2546620,4730251217.696959,4,2018,andhra-pradesh
kurnool,2508530,3626544852.4069242,4,2018,andhra-pradesh
anantapur,2286391,3975878156.329829,4,2018,andhra-pradesh
spsr nellore,1814997,3293448556.973445,4,2018,andhra-pradesh
ysr,1732527,3252340063.2478595,4,2018,andhra-pradesh
prakasam,1692862,3255254226.03728,4,2018,andhra-pradesh
visakhapatnam,9690866,13459857440.552685,1,2019,andhra-pradesh
chittoor,6486813,8223371732.233585,1,2019,andhra-pradesh
krishna,5443981,9061346433.072681,1,2019,andhra-pradesh
east godavari,5440146,7382264724.59952,1,2019,andhra-pradesh
guntur,4846553,7765934169.404485,1,2019,andhra-pradesh
kurnool,4193432,5541564892.509682,1,2019,andhra-pradesh
anantapur,3891336,6044730653.191345,1,2019,andhra-pradesh
spsr nellore,3333584,5161932216.216368,1,2019,andhra-pradesh
prakasam,2931081,4807527779.215151,1,2019,andhra-pradesh
ysr,2852197,4915811593.896078,1,2019,andhra-pradesh
visakhapatnam,11705738,20797479804.029076,2,2019,andhra-pradesh
krishna,6428472,13437029115.620754,2,2019,andhra-pradesh
chittoor,5983308,10982727976.224325,2,2019,andhra-pradesh
guntur,5005275,10405246943.481495,2,2019,andhra-pradesh
east godavari,4699261,9116404622.47651,2,2019,andhra-pradesh
kurnool,3895824,7358285187.018034,2,2019,andhra-pradesh
anantapur,3578836,7830782361.3776655,2,2019,andhra-pradesh
spsr nellore,3141891,6880873007.4820595,2,2019,andhra-pradesh
prakasam,2670529,6262396448.455348,2,2019,andhra-pradesh
ysr,2606284,6376856828.130632,2,2019,andhra-pradesh
visakhapatnam,16694947,26944837120.046288,3,2019,andhra-pradesh
krishna,8408474,16404073560.500784,3,2019,andhra-pradesh
chittoor,8201783,13837455758.755266,3,2019,andhra-pradesh
guntur,6942304,13075661264.188034,3,2019,andhra-pradesh
east godavari,6537303,11387726470.57774,3,2019,andhra-pradesh
kurnool,5139134,9025632779.412457,3,2019,andhra-pradesh
